Begin Time - hh:mm:ss.ms,End Time - hh:mm:ss.ms,P1,P2,Time,DQ_P1_Robbie,DQ_P2_Robbie,KT_P1_Scott,KT_P2_Scott,KB_P1_Scott,KB_P2_Scott,MC_P1_Scott,MC_P2_Scott,SQ_P2_Sarah,SQ_P1_Sarah
00:06:15.320,00:06:18.931,,but a couple of my friends are at Squirrel Hill and then pause filler,,,,,,,,,,,
00:06:19.001,00:06:20.777,,do you know Sophia Doyna or Trisha Soreta,,,,,,,,,,OSQ,
00:06:20.777,00:06:21.136,I (inaudible),,,,,,,,,,,,
00:06:21.635,00:06:26.275,,okay because I think they go to Falk,,,,,,,,,,,
00:06:26.275,00:06:28.090,,never mind (laughter),,,,,,,,,,,
00:06:29.118,00:06:29.667,yeah,,,,,,,,,,,,
00:06:38.587,00:06:48.175,,so what made you decide to do the CMU thing,,,,,,,,,,OSQ,
00:06:48.674,00:06:53.054,oh well I guess pause filler my mom works here,,,,,,,,,,,,
00:06:53.054,00:06:54.301,so she noticed it,,,,,,,,,,,,
00:06:54.381,00:06:57.933,and yeah I decided I'd do it,,,,,,,,,,,,
00:06:58.082,00:06:58.312,,yeah,,,,,,,,,,,
00:06:58.621,00:06:58.970,so,,,,,,,,,,,,
00:06:59.349,00:07:02.891,,it's not too long you get money,,,,,,,,,,,
00:07:03.470,00:07:04.717,yeah money is nice,,,,,,,,,,,,
00:07:04.987,00:07:07.222,,yeah but it's a good experience also,,,,,,,,,,,
00:07:08.259,00:07:08.668,yeah (inaudible),,,,,,,,,,,,
00:07:16.351,00:07:17.528,,thank you,,,,,,,,,,,
00:07:17.528,00:07:18.855,I have a question,,,,,,,,,,,,
00:07:18.915,00:07:24.283,is there a way to turn this down a little bit,,,,,,,,,,,,OSQ
00:07:24.283,00:07:25.221,,all right,,,,,,,,,,,
00:07:25.221,00:07:26.328,(inaudible) all right thanks,,,,,,,,,,,,
00:08:05.830,00:28:25.390,,,T1 ,,,,,,,,,,
00:08:08.612,00:08:09.151,pause filler okay (laughter),,,,,,,,,,,,
00:08:09.859,00:08:12.593,,so do you know how to do this,,,CU,,,,,,,,
00:08:12.593,00:08:13.990,,you've learned this in school right,,,,,,,,,,OSQ,
00:08:14.189,00:08:18.769,yeah so okay so yeah,,,,,,,,,,,,
00:08:18.769,00:08:21.912,the first thing is you want to get x alone,,,,,SP,,,,,,,
00:08:21.912,00:08:25.055,you want to get rid of those the three over seven pause filler,,,,,SP,,,,,,,
00:08:26.262,00:08:35.351,,yes so then you would have to well on the sheet it was like saying that you would have to do seven x,,,,,SP,,,,,,
00:08:35.351,00:08:36.908,,but I guess that's not,,,,,,,,,,,
00:08:37.496,00:08:38.265,,well never mind,,,,,,,,,,,
00:08:39.102,00:08:41.895,yeah so there's like two ways to do this,,,,,SP,,,,,,,
00:08:41.956,00:08:45.458,you could either divide x plus three over seven,,,,,SP,,,,,,,
00:08:45.458,00:08:48.352,or you could multiply it plus three over seven,,,,,SP,,,,,,,
00:08:49.579,00:08:52.333,,yes so you would have to divide it by three sevens,,,,,SP,,,,,,
00:08:53.151,00:08:56.543,yeah or we could multiply it by the reciprocal,,,,,CF,,,,,,,
00:08:57.062,00:08:58.159,because that would also work,,,,,,,ER,,,,,
00:08:58.159,00:08:59.846,because that would turn it into one,,,,,,,ER,,,,,
00:09:00.534,00:09:01.322,,yeah yeah yeah,,,,,,,,,,,
00:09:02.041,00:09:03.398,,so what do you think,,,,,,,,,,OSQ,
00:09:03.398,00:09:04.126,,what do you,,,,,,,,,,OSQ,
00:09:05.054,00:09:08.925,pause filler I mean it all depends,,,,,,,,,,,,
00:09:09.035,00:09:11.759,would you rather divide forty or,,,,,,,,,,,,RS
00:09:11.759,00:09:13.604,would you rather multiply over forty,,,,,,,,,,,,RS
00:09:13.604,00:09:17.755,probably multiplying might be easier than dividing forty,,,,,,,ER,,,,,
00:09:17.934,00:09:20.828,,all right then teach me how to do that then,,,,,,,,,,,
00:09:22.454,00:09:27.463,okay okay that's weird oh okay yeah,,,,,,,,,,,,
00:09:27.463,00:09:30.017,so you would want to do is,,,,,SP,,,,,,,
00:09:30.017,00:09:34.696,you would want to just put like forty over here,,,,,SP,,,,,,,
00:09:35.734,00:09:38.907,so that works,,,,,CF,,,,,,,
00:09:38.907,00:09:44.614,so you I guess you would want to write out forty if you're going to multiply that,,,,,SP,,,,,,,
00:09:44.863,00:09:49.543,,all right so then,,,,,,,,,,,
00:09:49.543,00:09:57.993,so then pause filler if we're going to multiply it pause filler you're going to just write over here three over seven,,,,,SP,,,,,,,
00:09:57.993,00:10:00.009,or seven over three yeah,,,,,SP,,,,,,,
00:10:00.009,00:10:01.406,and you want to do a reciprocal,,,,,SP,,,,,,,
00:10:01.515,00:10:01.855,,yeah,,,,,,,,,,,
00:10:03.651,00:10:06.225,and I assume you know how to multiply fractions right,,,CU,,,,,,,,,CA
00:10:06.783,00:10:09.896,,I actually haven't learned this for like a year or two,,,,,,,,,,,
00:10:09.896,00:10:12.620,,so just refresh me on it,,,,,,,,,,,
00:10:12.670,00:10:16.152,,I kind of remember but,,,,,,,,,,,
00:10:16.382,00:10:19.495,so pause filler basically it's like multiplying normally except,,,,,,,EC,,,,,
00:10:19.574,00:10:25.621,you want to multiply the forty times seven and the one times three,,,,,SP,,,,,,,
00:10:26.149,00:10:28.384,,okay okay yeah yeah,,,,,,,,,,,
00:10:28.384,00:10:30.639,you just multiply straight across so you get,,,,,SP,,,,,,,
00:10:31.248,00:10:32.165,,two hundred eighty,,,,,SP,,,,,,
00:10:32.804,00:10:33.223,yeah,,,,,CF,,,,,,,
00:10:36.725,00:10:40.277,,over three right,,,,,,,,,,CA,
00:10:40.277,00:10:43.729,,and then does that pause filler does that simplify,,,,,,,,,,CA,
00:10:40.443,00:10:41.106,yea,,,,,CF,,,,,,,
00:10:44.737,00:10:45.406,pause filler no,,,,,,,,,,,,
00:10:46.134,00:10:47.451,,all right,,,,,,,,,,,
00:10:46.809,00:10:47.200,no,,,,,IF,,,,,,,
00:10:47.531,00:10:51.701,see pause filler I guess you could just say that,,,,,CF,,,,,,,
00:10:52.609,00:10:58.745,because it would be okay,,,,,,,,,,,,
00:10:58.745,00:11:04.333,because you know you probably know (inaudible) okay,,,,,,,,,,,,
00:11:04.333,00:11:05.570,,all right next up,,,,,,,,,,,
00:11:05.570,00:11:09.940,,so now do you want to multiply from the reciprocal again,,,,,,,,,,CA,
00:11:10.080,00:11:11.147,,so fourteen,,,,,SP,,,,,,
00:11:11.496,00:11:11.885,yeah,,,,,CF,,,,,,,
00:11:13.592,00:11:18.201,,time eight over three,,,,,SP,,,,,,
00:11:19.778,00:11:22.910,,and then that's over one so fourteen times eight,,,,,SP,,,,,,
00:11:24.188,00:11:25.894,,oh gosh what is fourteen times eight,,,,,,,,,,RS,
00:11:26.283,00:11:28.927,see pause filler seven time eight is fifty-six,,,,,SP,,,,,,,
00:11:28.927,00:11:31.890,fifty-six times two a hundred and twelve,,,,,SP,,,,,,,
00:11:32.429,00:11:34.205,,all right thank you,,,,,,,,,,,
00:11:34.893,00:11:36.949,,over three,,,,,SP,,,,,,
00:11:37.607,00:11:37.966,yeah,,,,,CF,,,,,,,
00:11:37.966,00:11:40.261,,all right so next up,,,,,,,,,,,
00:11:42.326,00:11:43.683,,okay so,,,,,,,,,,,
00:11:45.918,00:11:51.625,okay yeah for this one this one you just have you're adding an extra step to it,,,,,SP,,,,,,,
00:11:51.625,00:11:55.137,so the first thing want to do is make sure y is alone on this,,,,,SP,,,,,,,
00:11:56.354,00:12:03.857,,all right so you're adding eighteen to both sides,,,,,SP,,,,,,
00:12:04.775,00:12:09.355,,so that will equal seventy right,,,,,,,,,,CA,
00:12:09.554,00:12:09.784,pause filler yeah,,,,,CF,,,,,,,
00:12:11.500,00:12:23.283,,so seventy negative two thirds y sorry my writing is so messy equals seventy,,,,,SP,,,,,,
00:12:25.229,00:12:36.124,,so you want to do seventy times wait three,,,,,,,,,,,
00:12:36.184,00:12:37.770,yeah you wanted to make sure there's a three,,,,,CF,,,,,,,
00:12:37.770,00:12:49.005,,yeah wait let me go back,,,,,,,,,,,
00:12:50.422,00:12:53.375,okay you want to just multiply,,,,,SP,,,,,,,
00:12:53.375,00:13:03.881,,seven times two equals (inaudible),,,,,SP,,,,,,
